m,k,log_n,N,reps,n_success
8,3,3,1,100000,100000
8,3,3,2,100000,81225
8,3,3,3,100000,51386
8,3,3,4,100000,19141
8,3,3,5,100000,0
8,3,3,6,100000,0
8,3,3,7,100000,0
8,3,3,8,100000,0
8,3,3,9,100000,0
8,3,3,10,100000,0
8,3,3,11,100000,0
8,3,3,12,100000,0
8,3,3,13,100000,0
8,3,3,14,100000,0
8,3,3,15,100000,0
8,3,3,16,100000,0
8,3,3,17,100000,0
8,3,3,18,100000,0
8,3,3,19,100000,0
8,3,4,1,100000,100000
8,3,4,2,100000,85837
8,3,4,3,100000,61964
8,3,4,4,100000,29304
8,3,4,5,100000,0
8,3,4,6,100000,0
8,3,4,7,100000,0
8,3,4,8,100000,0
8,3,4,9,100000,0
8,3,4,10,100000,0
8,3,4,11,100000,0
8,3,4,12,100000,0
8,3,4,13,100000,0
8,3,4,14,100000,0
8,3,4,15,100000,0
8,3,4,16,100000,0
8,3,4,17,100000,0
8,3,4,18,100000,0
8,3,4,19,100000,0
8,3,5,1,100000,100000
8,3,5,2,100000,83217
8,3,5,3,100000,55857
8,3,5,4,100000,23502
8,3,5,5,100000,0
8,3,5,6,100000,0
8,3,5,7,100000,0
8,3,5,8,100000,0
8,3,5,9,100000,0
8,3,5,10,100000,0
8,3,5,11,100000,0
8,3,5,12,100000,0
8,3,5,13,100000,0
8,3,5,14,100000,0
8,3,5,15,100000,0
8,3,5,16,100000,0
8,3,5,17,100000,0
8,3,5,18,100000,0
8,3,5,19,100000,0
8,3,6,1,100000,100000
8,3,6,2,100000,86300
8,3,6,3,100000,62902
8,3,6,4,100000,29904
8,3,6,5,100000,0
8,3,6,6,100000,0
8,3,6,7,100000,0
8,3,6,8,100000,0
8,3,6,9,100000,0
8,3,6,10,100000,0
8,3,6,11,100000,0
8,3,6,12,100000,0
8,3,6,13,100000,0
8,3,6,14,100000,0
8,3,6,15,100000,0
8,3,6,16,100000,0
8,3,6,17,100000,0
8,3,6,18,100000,0
8,3,6,19,100000,0
8,3,7,1,100000,100000
8,3,7,2,100000,87055
8,3,7,3,100000,64828
8,3,7,4,100000,32012
8,3,7,5,100000,0
8,3,7,6,100000,0
8,3,7,7,100000,0
8,3,7,8,100000,0
8,3,7,9,100000,0
8,3,7,10,100000,0
8,3,7,11,100000,0
8,3,7,12,100000,0
8,3,7,13,100000,0
8,3,7,14,100000,0
8,3,7,15,100000,0
8,3,7,16,100000,0
8,3,7,17,100000,0
8,3,7,18,100000,0
8,3,7,19,100000,0
8,3,8,1,100000,100000
8,3,8,2,100000,87488
8,3,8,3,100000,65272
8,3,8,4,100000,32220
8,3,8,5,100000,0
8,3,8,6,100000,0
8,3,8,7,100000,0
8,3,8,8,100000,0
8,3,8,9,100000,0
8,3,8,10,100000,0
8,3,8,11,100000,0
8,3,8,12,100000,0
8,3,8,13,100000,0
8,3,8,14,100000,0
8,3,8,15,100000,0
8,3,8,16,100000,0
8,3,8,17,100000,0
