n,N,reps,n_fail
179,57,100000,99994
1111,73,100000,91191
3353976342,21,100000,0
78824644,80,100000,4
3674,86,100000,63279
31308,84,100000,10657
247,40,100000,96396
117075,76,100000,2384
832,15,100000,11956
627,38,100000,68128
393333696,20,100000,0
27209,69,100000,8345
13395624,40,100000,9
7398,86,100000,39350
441,47,100000,92108
3025589822,19,100000,0
146272164,61,100000,0
92952683,49,100000,0
1836,91,100000,89589
28018,91,100000,13646
5874398,37,100000,9
436,69,100000,99637
4682885,87,100000,89
9112,82,100000,30370
1540,39,100000,38372
5,7,100000,100000
19905,86,100000,16877
140365930,74,100000,4
208480,86,100000,1756
7839047,56,100000,21
12214,81,100000,23283
11296,56,100000,12676
10288,5,100000,92
304,24,100000,60615
7710,87,100000,38403
527004,81,100000,667
1784,84,100000,86343
1052,93,100000,98463
8025,47,100000,12641
278205,14,100000,30
49,28,100000,99991
409884155,98,100000,1
9292,89,100000,34558
227,93,100000,100000
1332184,51,100000,99
1388238,62,100000,158
119031470,20,100000,0
1476774,41,100000,53
218,70,100000,100000
12,34,100000,100000
581849869,68,100000,0
5874398,42,100000,16
240832,14,100000,62
1273240716,75,100000,0
885,56,100000,83413
14909,55,100000,9473
2431,52,100000,42118
495409,10,100000,11
3364,3,100000,88
25903749,52,100000,10
222,56,100000,99949
17875690,16,100000,0
1105,11,100000,4861
825963302,99,100000,0
40,50,100000,100000
35,29,100000,100000
779586,17,100000,16
10758,19,100000,1590
529,8,100000,5167
430,57,100000,97858
8168893,26,100000,3
2005,19,100000,8099
2714,70,100000,59519
1383,69,100000,81981
58859,88,100000,6240
33403,63,100000,5786
79,92,100000,100000
2786185932,67,100000,1
15796573,3,100000,0
3638,74,100000,52585
1470823094,89,100000,0
2003596541,13,100000,0
265895731,68,100000,0
3567,6,100000,433
12643,20,100000,1549
1617,99,100000,95376
27209,33,100000,1925
2105,37,100000,27348
2673684247,96,100000,0
923,11,100000,5896
1134,41,100000,51834
12906,63,100000,14097
20733,72,100000,11640
585,44,100000,80923
2472087,62,100000,81
527004,95,100000,773
356258,94,100000,1197
5085263,98,100000,96
11885,7,100000,194
62,18,100000,93556
7422,9,100000,464
149922,47,100000,723
143,8,100000,18103
5,93,100000,100000
998307,51,100000,128
998307,16,100000,9
456210,11,100000,12
8593,81,100000,31856
161,82,100000,100000
2729355498,43,100000,0
5874398,55,100000,27
5191148,81,100000,64
1564625510,37,100000,0
14249937,8,100000,0
2565725199,47,100000,0
6287,99,100000,53742
14849537,68,100000,19
92,55,100000,100000
6955,96,100000,48008
310,60,100000,99794
162148013,26,100000,0
456210,67,100000,439
6932,93,100000,46321
19712,95,100000,20226
4782,88,100000,55296
348991,64,100000,563
51134293,47,100000,3
