n,k,m,d,code
3,1,1,1,PD
3,1,1,1,ZFD
3,1,2,2,PD
3,1,2,2,ZFD
3,1,3,3,PD
3,1,3,3,ZFD
4,1,1,1,PD
4,1,1,1,ZFD
4,1,2,2,PD
4,1,2,2,ZFD
4,1,3,3,PD
4,1,3,3,ZFD
4,1,4,4,PD
4,1,4,4,ZFD
4,2,1,1,PD
4,2,1,1,ZFD
4,2,2,2,PD
4,2,2,2,ZFD
4,2,3,3,PD
4,2,3,3,ZFD
4,2,4,1,ZFD
4,2,4,3,PD
4,2,5,1,ZFD
4,2,5,2,PD
4,2,6,1,ZFD
4,2,6,2,PD
5,1,1,1,PD
5,1,1,1,ZFD
5,1,2,2,PD
5,1,2,2,ZFD
5,1,3,3,PD
5,1,3,3,ZFD
5,1,4,4,PD
5,1,4,4,ZFD
5,1,5,5,PD
5,1,5,5,ZFD
5,2,1,1,PD
5,2,1,1,ZFD
5,2,10,1,ZFD
5,2,10,2,PD
5,2,2,2,PD
5,2,2,2,ZFD
5,2,3,3,PD
5,2,3,3,ZFD
5,2,4,4,PD
5,2,4,4,ZFD
5,2,5,1,ZFD
5,2,5,4,PD
5,2,6,1,ZFD
5,2,6,3,PD
5,2,7,1,ZFD
5,2,7,2,PD
5,2,8,1,ZFD
5,2,8,2,PD
5,2,9,1,ZFD
5,2,9,2,PD
6,1,1,1,PD
6,1,1,1,ZFD
6,1,2,2,PD
6,1,2,2,ZFD
6,1,3,3,PD
6,1,3,3,ZFD
6,1,4,4,PD
6,1,4,4,ZFD
6,1,5,5,PD
6,1,5,5,ZFD
6,1,6,6,PD
6,1,6,6,ZFD
6,2,1,1,PD
6,2,1,1,ZFD
6,2,10,1,ZFD
6,2,10,2,PD
6,2,11,1,ZFD
6,2,11,2,PD
6,2,12,1,ZFD
6,2,12,2,PD
6,2,13,1,ZFD
6,2,13,2,PD
6,2,14,1,ZFD
6,2,14,2,PD
6,2,15,1,ZFD
6,2,15,2,PD
6,2,2,2,PD
6,2,2,2,ZFD
6,2,3,3,PD
6,2,3,3,ZFD
6,2,4,4,PD
6,2,4,4,ZFD
6,2,5,5,PD
6,2,5,5,ZFD
6,2,6,1,ZFD
6,2,6,5,PD
6,2,7,1,ZFD
6,2,7,3,PD
6,2,8,1,ZFD
6,2,8,3,PD
6,2,9,1,ZFD
6,2,9,3,PD
6,3,1,1,PD
6,3,1,1,ZFD
6,3,10,1,ZFD
6,3,10,3,PD
6,3,11,1,ZFD
6,3,11,2,PD
6,3,12,1,ZFD
6,3,12,2,PD
6,3,13,1,ZFD
6,3,13,2,PD
6,3,14,1,ZFD
6,3,14,2,PD
6,3,15,1,ZFD
6,3,15,2,PD
6,3,2,2,PD
6,3,2,2,ZFD
6,3,3,3,PD
6,3,3,3,ZFD
6,3,4,4,PD
6,3,4,4,ZFD
6,3,5,1,ZFD
6,3,5,4,PD
6,3,6,1,ZFD
6,3,6,4,PD
6,3,7,1,ZFD
6,3,7,3,PD
6,3,8,1,ZFD
6,3,8,3,PD
6,3,9,1,ZFD
6,3,9,3,PD
7,1,1,1,PD
7,1,1,1,ZFD
7,1,2,2,PD
7,1,2,2,ZFD
7,1,3,3,PD
7,1,3,3,ZFD
7,1,4,4,PD
7,1,4,4,ZFD
7,1,5,5,PD
7,1,5,5,ZFD
7,1,6,6,PD
7,1,6,6,ZFD
7,1,7,7,PD
7,1,7,7,ZFD
7,2,1,1,PD
7,2,1,1,ZFD
7,2,10,1,ZFD
7,2,10,3,PD
7,2,11,1,ZFD
7,2,11,3,PD
7,2,12,1,ZFD
7,2,12,3,PD
7,2,13,1,ZFD
7,2,13,2,PD
7,2,14,1,ZFD
7,2,14,2,PD
7,2,15,1,ZFD
7,2,15,2,PD
7,2,2,2,PD
7,2,2,2,ZFD
7,2,3,3,PD
7,2,3,3,ZFD
7,2,4,4,PD
7,2,4,4,ZFD
7,2,5,5,PD
7,2,5,5,ZFD
7,2,6,6,PD
7,2,6,6,ZFD
7,2,7,1,ZFD
7,2,7,6,PD
7,2,8,1,ZFD
7,2,8,4,PD
7,2,9,1,ZFD
7,2,9,3,PD
7,3,1,1,PD
7,3,1,1,ZFD
7,3,10,1,ZFD
7,3,10,3,PD
7,3,2,2,PD
7,3,2,2,ZFD
7,3,3,3,PD
7,3,3,3,ZFD
7,3,4,4,PD
7,3,4,4,ZFD
7,3,5,5,PD
7,3,5,5,ZFD
7,3,6,2,ZFD
7,3,6,5,PD
7,3,7,2,ZFD
7,3,7,4,PD
7,3,8,1,ZFD
7,3,8,4,PD
7,3,9,1,ZFD
7,3,9,3,PD
8,1,1,1,PD
8,1,1,1,ZFD
8,1,2,2,PD
8,1,2,2,ZFD
8,1,3,3,PD
8,1,3,3,ZFD
8,1,4,4,PD
8,1,4,4,ZFD
8,1,5,5,PD
8,1,5,5,ZFD
8,1,6,6,PD
8,1,6,6,ZFD
8,1,7,7,PD
8,1,7,7,ZFD
8,1,8,8,PD
8,1,8,8,ZFD
8,2,1,1,PD
8,2,1,1,ZFD
8,2,2,2,PD
8,2,2,2,ZFD
8,2,3,3,PD
8,2,3,3,ZFD
8,2,4,4,PD
8,2,4,4,ZFD
8,2,5,5,PD
8,2,5,5,ZFD
8,2,6,6,PD
8,2,6,6,ZFD
8,2,7,7,PD
8,2,7,7,ZFD
8,2,8,1,ZFD
8,2,8,7,PD
8,2,9,1,ZFD
8,2,9,5,PD
8,3,1,1,PD
8,3,1,1,ZFD
8,3,2,2,PD
8,3,2,2,ZFD
8,3,3,3,PD
8,3,3,3,ZFD
8,3,4,4,PD
8,3,4,4,ZFD
8,3,5,5,PD
8,3,5,5,ZFD
8,3,6,6,PD
8,3,6,6,ZFD
8,3,7,2,ZFD
8,3,7,6,PD
8,3,8,2,ZFD
8,3,8,5,PD
8,4,1,1,PD
8,4,1,1,ZFD
8,4,2,2,PD
8,4,2,2,ZFD
8,4,3,3,PD
8,4,3,3,ZFD
8,4,4,4,PD
8,4,4,4,ZFD
8,4,5,5,PD
