items,hedge,keys,size,p
1,1,3,1,0.5
2,1.5,3,3,0.5
3,1.333333,3,4,0.5
4,1.5,3,6,0.5
5,1.6,3,8,0.5
6,1.5,3,9,0.5
7,1.571429,3,11,0.5
8,1.5,3,12,0.5
9,1.555556,3,14,0.5
10,1.5,3,15,0.5
11,1.454545,3,16,0.5
12,1.5,3,18,0.5
13,1.461538,3,19,0.5
14,1.5,3,21,0.5
15,1.466667,3,22,0.5
16,1.4375,3,23,0.5
17,1.470588,3,25,0.5
18,1.444444,3,26,0.5
19,1.421053,3,27,0.5
20,1.45,3,29,0.5
21,1.428571,3,30,0.5
22,1.409091,3,31,0.5
23,1.434783,3,33,0.5
24,1.416667,3,34,0.5
25,1.4,3,35,0.5
26,1.384615,3,36,0.5
27,1.407407,3,38,0.5
28,1.392857,3,39,0.5
29,1.37931,3,40,0.5
30,1.4,3,42,0.5
31,1.387097,3,43,0.5
32,1.375,3,44,0.5
33,1.393939,3,46,0.5
34,1.382353,3,47,0.5
35,1.371429,3,48,0.5
36,1.388889,3,50,0.5
37,1.378378,3,51,0.5
38,1.394737,3,52,0.5
39,1.358974,3,53,0.5
40,1.375,3,55,0.5
41,1.390244,3,56,0.5
42,1.357143,3,57,0.5
43,1.325581,3,56,0.5
44,1.363636,3,59,0.5
45,1.355556,3,61,0.5
46,1.347826,3,62,0.5
47,1.361702,3,64,0.5
48,1.354167,3,65,0.5
49,1.346939,3,66,0.5
1,1,3,1,0.666667
2,1.5,3,3,0.666667
3,1.666667,3,5,0.666667
4,1.75,3,7,0.666667
5,1.8,3,9,0.666667
6,1.666667,3,10,0.666667
7,1.714286,3,12,0.666667
8,1.75,3,14,0.666667
9,1.555556,3,14,0.666667
10,1.7,3,17,0.666667
11,1.636364,3,18,0.666667
12,1.666667,3,20,0.666667
13,1.615385,3,21,0.666667
14,1.642857,3,23,0.666667
15,1.6,3,24,0.666667
16,1.5625,3,25,0.666667
17,1.588235,3,27,0.666667
18,1.555556,3,28,0.666667
19,1.526316,3,29,0.666667
20,1.55,3,31,0.666667
21,1.52381,3,32,0.666667
22,1.545455,3,34,0.666667
23,1.521739,3,35,0.666667
24,1.5,3,36,0.666667
25,1.52,3,38,0.666667
26,1.5,3,39,0.666667
27,1.481481,3,40,0.666667
28,1.5,3,42,0.666667
29,1.482759,3,43,0.666667
30,1.466667,3,44,0.666667
31,1.451613,3,45,0.666667
32,1.46875,3,47,0.666667
33,1.454545,3,48,0.666667
34,1.470588,3,50,0.666667
35,1.457143,3,51,0.666667
36,1.444444,3,52,0.666667
37,1.432432,3,53,0.666667
38,1.421053,3,54,0.666667
39,1.435897,3,56,0.666667
40,1.425,3,57,0.666667
41,1.390244,3,56,0.666667
42,1.404762,3,58,0.666667
43,1.44186,3,61,0.666667
44,1.409091,3,62,0.666667
45,1.4,3,62,0.666667
46,1.413043,3,65,0.666667
47,1.404255,3,66,0.666667
48,1.395833,3,67,0.666667
49,1.408163,3,69,0.666667
1,2,3,2,0.75
2,2,3,4,0.75
3,2,3,6,0.75
4,2,3,8,0.75
5,2,3,10,0.75
6,1.833333,3,11,0.75
7,1.857143,3,13,0.75
8,1.875,3,15,0.75
9,1.888889,3,17,0.75
10,1.8,3,18,0.75
11,1.818182,3,20,0.75
12,1.75,3,21,0.75
13,1.692308,4,22,0.75
14,1.714286,3,24,0.75
15,1.666667,4,25,0.75
16,1.6875,3,27,0.75
17,1.647059,3,28,0.75
18,1.611111,4,29,0.75
19,1.631579,3,31,0.75
20,1.6,4,32,0.75
21,1.619048,3,34,0.75
22,1.590909,3,35,0.75
23,1.565217,4,36,0.75
24,1.541667,4,37,0.75
25,1.56,4,39,0.75
26,1.538462,4,40,0.75
27,1.555556,4,42,0.75
28,1.535714,4,43,0.75
29,1.517241,4,44,0.75
30,1.5,4,45,0.75
31,1.516129,4,47,0.75
32,1.5,4,48,0.75
33,1.515152,3,50,0.75
34,1.5,4,51,0.75
35,1.485714,4,52,0.75
36,1.5,3,54,0.75
37,1.486486,3,55,0.75
38,1.473684,4,56,0.75
39,1.487179,3,58,0.75
40,1.475,3,59,0.75
41,1.463415,4,60,0.75
42,1.47619,3,62,0.75
43,1.465116,3,63,0.75
44,1.454545,3,64,0.75
45,1.466667,3,66,0.75
46,1.456522,3,67,0.75
47,1.446809,3,68,0.75
48,1.4375,3,69,0.75
49,1.44898,3,71,0.75
1,2,3,2,0.8
2,2,3,4,0.8
3,2.333333,3,7,0.8
4,2.25,3,9,0.8
5,2.2,3,11,0.8
6,2,3,12,0.8
7,2,3,14,0.8
8,2,3,16,0.8
9,1.888889,5,17,0.8
10,1.9,3,19,0.8
11,1.818182,5,20,0.8
12,1.833333,3,22,0.8
13,1.769231,4,23,0.8
14,1.785714,3,25,0.8
15,1.733333,4,26,0.8
16,1.75,4,28,0.8
17,1.705882,4,29,0.8
18,1.666667,4,30,0.8
19,1.684211,4,32,0.8
20,1.65,4,33,0.8
21,1.619048,4,34,0.8
22,1.636364,4,36,0.8
23,1.608696,4,37,0.8
24,1.583333,4,38,0.8
25,1.56,4,39,0.8
26,1.576923,4,41,0.8
27,1.555556,4,42,0.8
28,1.571429,4,44,0.8
29,1.551724,4,45,0.8
30,1.533333,4,46,0.8
31,1.548387,4,48,0.8
32,1.53125,4,49,0.8
33,1.515152,4,50,0.8
34,1.529412,3,52,0.8
35,1.514286,4,53,0.8
36,1.527778,4,55,0.8
37,1.513514,4,56,0.8
38,1.5,3,57,0.8
39,1.487179,4,58,0.8
40,1.5,3,60,0.8
41,1.487805,4,61,0.8
42,1.5,3,63,0.8
43,1.488372,3,64,0.8
44,1.477273,4,65,0.8
45,1.488889,3,67,0.8
46,1.478261,4,68,0.8
47,1.468085,4,69,0.8
48,1.479167,3,71,0.8
49,1.469388,4,72,0.8
1,2,3,2,0.833333
2,2.5,3,5,0.833333
3,2.333333,3,7,0.833333
4,2.25,3,9,0.833333
5,2.2,3,11,0.833333
6,2.166667,3,13,0.833333
7,2,5,14,0.833333
8,2,5,16,0.833333
9,2,3,18,0.833333
10,1.9,5,19,0.833333
11,1.909091,3,21,0.833333
12,1.833333,5,22,0.833333
13,1.846154,4,24,0.833333
14,1.785714,4,25,0.833333
15,1.733333,4,26,0.833333
16,1.75,4,28,0.833333
17,1.764706,4,30,0.833333
18,1.722222,4,31,0.833333
19,1.736842,4,33,0.833333
20,1.7,4,34,0.833333
21,1.666667,4,35,0.833333
22,1.636364,4,36,0.833333
23,1.652174,4,38,0.833333
24,1.625,4,39,0.833333
25,1.6,4,40,0.833333
26,1.615385,4,42,0.833333
27,1.592593,4,43,0.833333
28,1.571429,4,44,0.833333
29,1.586207,4,46,0.833333
30,1.566667,4,47,0.833333
31,1.548387,4,48,0.833333
32,1.5625,4,50,0.833333
33,1.545455,4,51,0.833333
34,1.529412,4,52,0.833333
35,1.542857,4,54,0.833333
36,1.527778,4,55,0.833333
37,1.513514,4,56,0.833333
38,1.5,4,57,0.833333
39,1.512821,4,59,0.833333
40,1.5,4,60,0.833333
41,1.512195,4,62,0.833333
42,1.5,4,63,0.833333
43,1.511628,4,65,0.833333
44,1.5,4,66,0.833333
45,1.511111,3,68,0.833333
46,1.5,4,69,0.833333
47,1.489362,4,70,0.833333
48,1.479167,4,71,0.833333
49,1.489796,4,73,0.833333
1,2,3,2,0.857143
2,2.5,3,5,0.857143
3,2.666667,3,8,0.857143
4,2.5,3,10,0.857143
5,2.2,5,11,0.857143
6,2.166667,3,13,0.857143
7,2.142857,3,15,0.857143
8,2.125,3,17,0.857143
9,2,5,18,0.857143
10,2,4,20,0.857143
11,1.909091,5,21,0.857143
12,1.916667,4,23,0.857143
13,1.846154,5,24,0.857143
14,1.857143,4,26,0.857143
15,1.8,5,27,0.857143
16,1.8125,4,29,0.857143
17,1.764706,4,30,0.857143
18,1.777778,4,32,0.857143
19,1.736842,4,33,0.857143
20,1.7,4,34,0.857143
21,1.666667,4,35,0.857143
22,1.681818,4,37,0.857143
23,1.652174,4,38,0.857143
24,1.625,4,39,0.857143
25,1.64,4,41,0.857143
26,1.615385,4,42,0.857143
27,1.62963,4,44,0.857143
28,1.607143,4,45,0.857143
29,1.586207,4,46,0.857143
30,1.6,4,48,0.857143
31,1.580645,4,49,0.857143
32,1.5625,4,50,0.857143
33,1.575758,4,52,0.857143
34,1.529412,4,52,0.857143
35,1.542857,4,54,0.857143
36,1.555556,4,56,0.857143
37,1.540541,4,57,0.857143
38,1.552632,4,59,0.857143
39,1.538462,4,60,0.857143
40,1.525,4,61,0.857143
41,1.536585,4,63,0.857143
42,1.52381,4,64,0.857143
43,1.511628,4,65,0.857143
44,1.522727,4,67,0.857143
45,1.511111,4,68,0.857143
46,1.5,4,69,0.857143
47,1.510638,4,71,0.857143
48,1.5,4,72,0.857143
49,1.489796,4,73,0.857143
1,3,3,3,0.875
2,3,3,6,0.875
